checkpoint_label,sample_label,split,case_id,group_name,noise_pct,n_speakers,overlap_count,overlap_bucket,low_threshold,ref_segments,pred_segments,raw_segments,vbx_segments,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,skipped,skip_reason,run_json,stdout_log,stderr_log,hyp_rttm,raw_rttm,noise_group
baseline,data11 | ov10 | 0% noise,test_data,data11,vivo,0.0,2,10.0,ov10,0.05,285,533,533,533,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data11\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data11\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data11\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data11\forensics_baseline__thr005__test_data__data11\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data11\forensics_baseline__thr005__test_data__data11\raw_low005.rttm,0% noise
baseline,data11 | ov10 | 0% noise,test_data,data11,vivo,0.0,2,10.0,ov10,0.25,285,533,533,533,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data11\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data11\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data11\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data11\forensics_baseline__thr025__test_data__data11\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data11\forensics_baseline__thr025__test_data__data11\raw_low025.rttm,0% noise
baseline,data2 | ov0 | 0% noise,test_data,data2,vivo,0.0,2,0.0,ov0,0.05,257,450,450,450,30.539249220331055,15.943176172905208,8.376134855729449,6.219938191696401,0.0,0.0,0.0,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data2\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data2\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data2\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data2\forensics_baseline__thr005__test_data__data2\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data2\forensics_baseline__thr005__test_data__data2\raw_low005.rttm,0% noise
baseline,data2 | ov0 | 0% noise,test_data,data2,vivo,0.0,2,0.0,ov0,0.25,257,450,450,450,30.539249220331055,15.943176172905208,8.376134855729449,6.219938191696401,0.0,0.0,0.0,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data2\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data2\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data2\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data2\forensics_baseline__thr025__test_data__data2\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data2\forensics_baseline__thr025__test_data__data2\raw_low025.rttm,0% noise
baseline,data56 | ov5 | 0% noise,test_data,data56,vivo,0.0,2,5.0,ov5,0.05,257,489,489,489,27.654251832686246,15.907580375068974,7.969541009329789,3.777130448287481,0.6512088222819171,0.5466413482079279,0.5943609265113878,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data56\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data56\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data56\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data56\forensics_baseline__thr005__test_data__data56\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data56\forensics_baseline__thr005__test_data__data56\raw_low005.rttm,0% noise
baseline,data56 | ov5 | 0% noise,test_data,data56,vivo,0.0,2,5.0,ov5,0.25,257,489,489,489,27.654251832686246,15.907580375068974,7.969541009329789,3.777130448287481,0.6512088222819171,0.5466413482079279,0.5943609265113878,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data56\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data56\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data56\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data56\forensics_baseline__thr025__test_data__data56\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data56\forensics_baseline__thr025__test_data__data56\raw_low025.rttm,0% noise
baseline,data14 | ov10 | 17% noise,test_data,data14,vivo,17.0,3,10.0,ov10,0.05,324,539,539,539,36.73098847349755,15.864511421872276,7.855379900846154,13.011097150779117,0.697112155809268,0.5539408866995074,0.6173342178100053,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data14\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data14\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data14\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data14\forensics_baseline__thr005__test_data__data14\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data14\forensics_baseline__thr005__test_data__data14\raw_low005.rttm,with noise
baseline,data14 | ov10 | 17% noise,test_data,data14,vivo,17.0,3,10.0,ov10,0.25,324,539,539,539,36.73098847349755,15.864511421872276,7.855379900846154,13.011097150779117,0.697112155809268,0.5539408866995074,0.6173342178100053,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data14\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data14\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data14\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data14\forensics_baseline__thr025__test_data__data14\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data14\forensics_baseline__thr025__test_data__data14\raw_low025.rttm,with noise
baseline,data5 | ov0 | 23% noise,test_data,data5,vivo,23.0,3,0.0,ov0,0.05,237,370,370,370,25.882415082608023,12.235265376814858,7.17051381869041,6.476635887102754,0.0,0.0,0.0,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data5\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data5\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data5\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data5\forensics_baseline__thr005__test_data__data5\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data5\forensics_baseline__thr005__test_data__data5\raw_low005.rttm,with noise
baseline,data5 | ov0 | 23% noise,test_data,data5,vivo,23.0,3,0.0,ov0,0.25,237,370,370,370,25.882415082608023,12.235265376814858,7.17051381869041,6.476635887102754,0.0,0.0,0.0,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data5\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data5\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data5\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data5\forensics_baseline__thr025__test_data__data5\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data5\forensics_baseline__thr025__test_data__data5\raw_low025.rttm,with noise
baseline,data62 | ov5 | 23% noise,test_data,data62,vivo,23.0,4,5.0,ov5,0.05,294,540,540,540,33.67388616453661,17.68294997784895,7.737781901457069,8.253154285230595,0.6564743419303377,0.4573916265283438,0.5391418277104487,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data62\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data62\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data62\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data62\forensics_baseline__thr005__test_data__data62\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_005\test_data\data62\forensics_baseline__thr005__test_data__data62\raw_low005.rttm,with noise
