checkpoint_label,noise_group,sample_label,case_id,noise_pct,overlap_bucket,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
baseline,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
baseline,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.25,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
baseline,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.05,30.539249220331055,15.943176172905208,8.376134855729449,6.219938191696401,0.0,0.0,0.0,450,257
baseline,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.25,30.539249220331055,15.943176172905208,8.376134855729449,6.219938191696401,0.0,0.0,0.0,450,257
baseline,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.05,27.654251832686246,15.907580375068974,7.969541009329789,3.777130448287481,0.6512088222819171,0.5466413482079279,0.5943609265113878,489,257
baseline,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.25,27.654251832686246,15.907580375068974,7.969541009329789,3.777130448287481,0.6512088222819171,0.5466413482079279,0.5943609265113878,489,257
baseline,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.05,36.73098847349755,15.864511421872276,7.855379900846154,13.011097150779117,0.697112155809268,0.5539408866995074,0.6173342178100053,539,324
baseline,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.25,36.73098847349755,15.864511421872276,7.855379900846154,13.011097150779117,0.697112155809268,0.5539408866995074,0.6173342178100053,539,324
baseline,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.05,25.882415082608023,12.235265376814858,7.17051381869041,6.476635887102754,0.0,0.0,0.0,370,237
baseline,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.25,25.882415082608023,12.235265376814858,7.17051381869041,6.476635887102754,0.0,0.0,0.0,370,237
baseline,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.05,33.67388616453661,17.68294997784895,7.737781901457069,8.253154285230595,0.6564743419303377,0.4573916265283438,0.5391418277104487,540,294
baseline,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.25,33.67388616453661,17.68294997784895,7.737781901457069,8.253154285230595,0.6564743419303377,0.4573916265283438,0.5391418277104487,540,294
best_model,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,18.840415866452208,0.30483177551526935,18.00504403917736,0.5305400517595823,0.47236768654137534,0.9702429702429703,0.6353917116601708,387,285
best_model,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.25,8.481608383787464,0.13235272968837075,8.295045146074436,0.05421050802465691,0.664918987802658,0.9971061971061971,0.7978156400174748,365,285
best_model,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.05,23.86706646420145,0.00974943012307876,21.73781789421607,2.119499139862301,0.004072297221912306,0.9358974358974358,0.008109309042435014,348,257
best_model,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.25,7.39057965179519,0.2479540779615101,6.652836985537158,0.4897885882965229,0.009158307893589184,0.5384615384615384,0.018010291595197254,326,257
best_model,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.05,27.721168643262033,0.18844730068718624,25.938667849592928,1.5940534929819177,0.22223737318642955,0.9671255637313079,0.36142280569477087,440,257
