checkpoint_label,noise_group,sample_label,case_id,noise_pct,overlap_bucket,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
baseline,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,59.07380995902154,17.60049727296219,26.752778334091314,14.720534351968032,0.13568883610451307,0.19961779961779963,0.16155902693386953,232,285
baseline,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.25,57.24434116598457,19.722337058037787,22.000981674507138,15.52102243343964,0.1754835951693919,0.1793065793065793,0.17737449026438737,187,285
baseline,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.05,56.31017445174583,13.448943004128655,21.927496490841637,20.933734956775535,0.0006714113065664026,0.06410256410256411,0.0013289036544850497,175,257
baseline,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.25,55.97442175862285,17.102360081953137,17.237800089103107,21.634261587566616,0.0008250825082508252,0.02564102564102564,0.001598721023181455,173,257
baseline,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.05,55.77893992432151,14.196684228562207,25.2447372507844,16.337518444974915,0.06260763290928281,0.13375267030619511,0.08529155787641428,183,257
baseline,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.25,51.8108632874983,16.66858551027712,18.726868316078445,16.415409461142733,0.06812055868659643,0.06598623308806077,0.06703641186399807,159,257
baseline,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.05,65.39492292673384,16.28899089654218,28.003456184584035,21.10247584560762,0.20363456041071118,0.28657635467980297,0.23808874185737186,267,324
baseline,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.25,63.95167418910527,23.43045385817052,18.75873557712491,21.762484753809844,0.1902887933644124,0.12902298850574712,0.15377840839591944,210,324
baseline,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.05,62.524443723197706,11.834669192340087,23.2056477705226,27.48412676033502,0.0009846396218983853,0.16129032258064518,0.001957330201605011,207,237
baseline,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.25,58.493026287472425,17.309953733227253,16.00079162272612,25.182280931519053,0.003119151590767311,0.08064516129032256,0.006006006006006006,174,237
baseline,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.05,68.6823798325453,17.75044544176766,24.4127893289461,26.519145061831534,0.12183813604084749,0.1922934420155613,0.14916472067540867,227,294
baseline,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.25,66.40562376280421,23.58305234475452,18.058728138643012,24.76384327940668,0.18435613682092555,0.1357910337161912,0.15639001493492644,203,294
best_model,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,3.551815148963908,1.69739544397403,1.5938245917176483,0.26059511327222856,0.9775221238938053,0.9046683046683046,0.9396852403232667,402,285
best_model,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.25,3.551815148963908,1.69739544397403,1.5938245917176483,0.26059511327222856,0.9775221238938053,0.9046683046683046,0.9396852403232667,402,285
best_model,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.05,16.120668079442492,3.6106546378979596,1.2361859194823683,11.273827522062165,0.015151515151515152,0.01282051282051282,0.013888888888888888,352,257
best_model,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.25,16.120668079442492,3.6106546378979596,1.2361859194823683,11.273827522062165,0.015151515151515152,0.01282051282051282,0.013888888888888888,352,257
best_model,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.05,21.384661648157575,2.7412805619032232,1.390848652545773,17.25253243370858,0.9640307907627712,0.8174697365297888,0.8847215978421425,348,257
best_model,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.25,21.384661648157575,2.7412805619032232,1.390848652545773,17.25253243370858,0.9640307907627712,0.8174697365297888,0.8847215978421425,348,257
best_model,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.05,23.17144955440696,4.464912543547113,1.9373362963746743,16.769200714485173,0.9720413026211279,0.7535714285714286,0.848976760319112,460,324
best_model,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.25,23.17144955440696,4.464912543547113,1.9373362963746743,16.769200714485173,0.9720413026211279,0.7535714285714286,0.848976760319112,460,324
best_model,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.05,10.486434340864195,2.409460118525441,2.8978391733765045,5.179135048962246,0.015151515151515152,0.03225806451612903,0.020618556701030927,328,237
best_model,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.25,10.486434340864195,2.409460118525441,2.8978391733765045,5.179135048962246,0.015151515151515152,0.03225806451612903,0.020618556701030927,328,237
best_model,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.05,18.3844030838667,5.575817631000487,1.7554551619880607,11.053130290878153,0.9623465211459754,0.6533901444979622,0.7783294714774358,407,294
best_model,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.25,18.3844030838667,5.575817631000487,1.7554551619880607,11.053130290878153,0.9623465211459754,0.6533901444979622,0.7783294714774358,407,294
